degree,count
298,1
124,1
89,1
103,1
57,1
46,2
59,1
71,2
65,1
49,2
61,3
86,1
48,1
63,2
52,2
53,1
40,1
15,21
32,2
20,15
50,1
35,3
39,3
36,3
23,8
42,1
45,1
24,6
37,3
38,2
31,6
29,7
34,1
47,1
8,117
21,7
33,1
19,8
22,3
14,28
16,18
13,32
28,5
18,10
11,44
25,6
26,2
9,90
27,2
30,2
10,74
7,174
17,13
12,42
5,442
6,264
4,8
312,1
118,1
86,2
79,1
54,2
71,1
33,4
104,1
56,1
46,3
28,4
108,1
19,12
24,7
48,1
105,1
87,1
73,1
20,13
88,1
40,1
65,1
26,5
37,2
60,1
45,2
21,10
36,3
49,1
42,2
29,6
27,3
16,20
22,3
10,67
12,39
17,17
25,2
11,52
23,5
14,26
31,1
15,36
8,118
35,1
9,105
32,3
13,31
7,179
18,5
6,261
5,424
4,9
266,1
171,1
141,1
41,2
46,1
69,2
51,1
49,2
38,1
71,1
109,1
44,2
53,1
75,1
52,1
61,2
70,1
26,5
50,2
28,3
48,1
15,26
25,5
36,2
18,13
91,1
39,1
59,2
14,21
33,2
54,1
17,18
47,1
31,2
43,1
22,6
19,14
21,11
20,9
37,1
16,11
35,4
9,86
27,6
32,2
30,2
13,29
24,5
23,6
34,1
11,52
29,3
12,39
7,183
10,63
8,131
6,267
5,429
4,10
3,1
288,1
100,1
61,1
99,1
64,1
75,1
12,52
83,1
39,1
63,1
41,1
59,1
53,2
73,1
113,1
47,1
21,8
19,10
40,1
90,1
72,1
31,1
22,11
55,1
25,5
35,5
23,4
62,1
26,4
28,6
27,6
16,22
11,51
29,2
37,2
33,4
50,1
51,1
15,20
18,15
44,1
43,1
57,1
20,9
38,1
60,1
32,3
30,1
17,19
9,108
14,28
10,53
24,5
36,1
13,21
8,139
5,412
7,167
6,267
4,11
244,1
125,1
46,1
214,1
126,1
67,1
32,2
60,1
110,1
73,2
38,5
23,12
50,2
25,3
52,1
24,7
13,30
49,1
29,3
51,3
56,1
43,1
39,2
33,1
18,12
26,2
45,2
20,8
30,1
21,12
53,1
31,2
19,13
16,20
58,1
36,3
35,1
40,1
41,2
27,3
17,16
37,1
28,1
14,36
10,68
34,2
22,6
12,36
15,22
8,125
9,85
5,410
11,57
42,1
6,283
7,179
3,1
4,3
228,1
150,2
146,1
85,1
108,1
57,1
73,1
56,1
42,1
84,1
52,1
109,1
18,9
48,2
28,5
50,1
69,2
35,1
32,2
37,2
26,4
47,2
15,17
30,3
65,1
38,3
39,1
44,1
19,12
72,1
27,7
49,1
20,12
22,5
33,2
16,18
36,3
31,1
24,4
14,22
11,52
5,410
29,2
13,42
67,1
10,60
17,15
7,193
12,41
41,2
21,8
23,8
25,5
8,121
45,1
9,83
6,287
4,12
341,1
206,1
135,1
42,2
120,1
80,2
56,1
116,1
48,3
45,1
38,1
11,55
13,35
73,1
18,11
65,1
22,6
23,11
39,1
75,1
51,1
24,4
21,11
36,2
44,2
28,8
17,14
41,1
40,2
16,24
43,2
29,1
31,2
25,5
37,2
34,2
19,13
35,3
15,23
26,3
14,23
12,46
20,8
8,143
33,1
9,92
6,261
7,174
10,65
27,1
30,1
5,415
4,8
333,1
151,1
204,1
93,1
59,2
51,2
95,1
78,1
58,1
109,1
61,1
52,1
19,16
41,3
39,2
68,1
43,1
25,9
24,8
45,1
55,1
29,3
21,7
47,1
20,8
22,5
57,1
36,3
11,49
18,19
13,40
23,5
60,1
15,16
27,5
14,24
34,2
26,4
16,19
42,2
17,23
46,1
10,64
38,1
8,117
31,1
12,36
9,104
37,1
6,257
32,1
7,180
5,429
4,14
3,1
282,1
230,1
44,3
96,1
72,3
117,1
58,1
43,1
40,4
45,3
61,2
63,1
39,2
74,1
54,1
13,29
33,2
49,1
29,5
37,1
36,3
27,5
20,13
50,1
70,1
35,3
48,1
28,5
38,2
24,7
32,3
17,13
23,2
21,6
12,42
18,10
30,2
14,23
26,6
16,21
31,2
22,8
11,55
19,9
10,69
25,4
7,169
15,24
8,115
9,89
34,1
6,274
5,437
4,11
356,1
161,1
87,1
56,1
163,1
22,8
44,1
43,2
60,2
54,1
46,2
78,1
85,1
30,5
49,2
59,1
31,3
47,2
58,2
33,3
34,1
36,2
20,7
15,22
14,21
26,4
45,1
29,3
19,8
21,9
42,2
50,1
55,1
25,5
23,9
27,5
16,18
39,1
24,7
35,2
37,1
40,1
18,15
11,54
12,49
13,37
41,1
17,13
9,103
7,175
10,64
8,128
6,258
4,11
5,419
3,1
270,1
112,1
56,1
150,1
79,1
138,1
62,1
71,1
91,1
61,1
70,1
47,2
27,6
53,1
52,2
26,3
55,1
69,1
67,1
23,2
50,1
25,5
43,1
37,3
35,4
28,3
32,5
39,2
30,4
20,8
36,3
44,1
19,13
10,76
21,7
22,7
34,3
38,1
46,1
11,54
13,45
45,1
31,2
17,16
12,36
24,6
16,24
18,13
15,26
9,73
8,123
14,28
6,262
7,172
5,431
4,10
431,1
111,1
102,1
126,1
122,1
64,1
107,1
56,1
68,2
55,2
49,1
28,4
24,6
18,16
32,4
67,1
40,1
57,1
9,99
31,2
21,6
26,8
29,5
47,2
41,1
25,5
33,3
34,3
23,10
17,13
27,4
20,11
14,19
42,2
8,124
35,2
19,9
11,52
12,50
22,8
15,19
13,34
45,1
16,16
7,173
36,1
6,257
10,74
37,1
4,14
5,425
30,1
285,1
134,1
143,1
48,2
63,1
69,1
108,1
29,4
62,1
104,1
111,1
45,3
55,1
76,1
22,5
38,2
18,17
56,1
61,1
53,2
31,5
44,1
73,1
26,5
58,1
21,6
15,28
35,1
36,4
28,5
39,1
42,1
20,6
59,1
24,2
37,2
10,67
25,5
12,47
19,7
32,3
23,5
14,24
47,1
17,19
13,37
27,3
11,55
9,75
33,2
30,2
16,15
7,194
34,1
6,277
8,129
5,404
4,10
297,1
58,2
124,1
42,1
76,1
107,1
133,1
60,1
72,2
33,3
84,1
43,1
61,2
49,2
62,1
97,1
46,1
122,1
21,11
54,2
23,7
45,1
27,6
65,1
28,1
29,4
57,1
32,2
36,1
17,14
25,3
24,4
26,3
16,19
51,1
9,70
18,11
20,16
35,1
12,47
11,55
40,2
13,29
44,1
14,26
38,1
55,1
30,1
8,118
22,4
10,73
15,18
19,11
34,1
31,4
7,192
5,408
6,290
4,14
2,1
346,1
158,1
98,1
115,1
92,1
106,2
72,1
36,3
58,1
39,1
28,2
52,1
64,1
24,7
85,1
35,3
37,4
48,1
38,1
31,2
29,2
46,1
40,3
25,3
17,19
34,2
54,1
43,5
42,1
27,4
9,100
18,8
20,17
47,1
26,7
22,4
32,4
21,5
19,8
41,1
12,37
11,49
23,5
7,190
16,18
8,110
33,1
13,36
15,22
14,27
10,76
30,2
6,272
5,409
4,14
344,1
84,1
104,1
94,1
99,1
111,1
72,1
44,2
56,1
40,2
42,1
53,2
23,7
73,1
32,2
63,1
81,1
36,3
38,2
50,2
58,1
37,1
47,1
21,11
15,20
35,1
19,5
39,2
24,7
33,3
27,2
59,1
48,1
26,8
55,1
25,8
46,1
30,3
54,1
11,48
29,4
18,10
28,7
31,1
20,11
16,19
13,36
12,46
17,7
22,5
14,21
6,256
10,76
8,126
34,1
7,176
9,95
5,435
4,8
371,1
190,1
50,2
135,1
104,1
65,2
47,1
57,1
110,1
49,2
54,1
94,1
62,1
67,1
82,1
30,3
37,1
35,1
36,3
19,11
45,1
73,1
15,20
85,1
46,1
38,1
25,5
22,4
59,1
28,2
26,5
41,1
24,8
18,10
43,1
33,2
21,8
29,4
16,20
40,1
17,16
23,7
27,3
8,131
44,1
20,9
32,3
11,54
39,1
13,33
12,43
10,77
14,24
7,151
9,88
5,440
6,271
4,13
3,1
266,1
143,1
118,1
102,1
82,2
89,1
97,1
75,1
105,1
36,4
77,1
20,9
29,2
25,4
73,1
27,2
24,6
60,1
52,1
28,6
49,1
34,5
26,7
41,3
47,1
19,18
31,3
39,1
21,10
9,77
17,22
55,1
45,1
33,1
38,1
14,31
42,1
22,9
51,1
16,24
8,116
23,5
15,18
18,11
12,47
13,29
48,1
7,168
30,2
32,1
10,59
11,56
6,267
5,441
4,14
247,1
192,1
219,1
36,1
120,1
142,1
58,1
66,2
80,1
94,1
26,3
23,9
31,3
32,2
74,1
61,2
44,3
46,2
18,17
30,2
57,2
56,1
25,8
22,5
17,17
49,1
29,3
73,1
24,4
20,7
33,3
15,24
53,1
16,9
38,1
19,15
35,3
10,70
21,8
27,3
37,1
14,27
28,2
12,48
42,1
11,51
13,35
8,120
9,92
6,256
7,196
5,411
4,19
439,1
83,1
93,1
124,1
82,1
63,1
96,1
66,1
47,1
69,2
44,2
42,2
58,1
12,36
46,1
30,6
51,1
60,1
36,3
38,5
41,3
24,5
54,1
40,1
34,2
22,6
25,9
35,2
27,4
45,1
17,10
11,48
37,1
16,15
26,2
10,65
21,8
43,1
20,11
33,2
13,36
28,3
8,126
14,33
31,1
23,6
19,9
6,249
29,2
18,12
9,123
15,20
32,1
7,161
5,431
4,19
3,2
