degree,count
12,99
15,112
14,117
9,58
20,34
16,71
21,14
11,81
7,17
13,89
17,70
25,2
8,41
18,57
19,26
22,13
24,5
10,69
6,8
23,7
5,7
3,2
27,1
11,95
14,109
10,79
13,101
8,26
9,44
12,99
16,86
21,19
15,101
17,81
18,52
19,35
20,19
23,7
6,14
24,6
22,10
25,2
7,10
28,1
4,1
5,2
27,1
12,104
10,69
8,40
18,42
17,57
20,29
19,44
14,99
6,14
16,78
15,93
24,2
13,103
11,104
21,16
7,29
9,50
22,10
23,6
4,2
5,5
26,2
27,1
28,1
12,101
14,123
13,119
21,23
18,49
15,83
10,74
6,9
17,78
8,28
11,88
19,38
20,22
7,20
16,81
26,2
9,33
22,14
25,4
5,3
24,3
23,4
3,1
12,108
11,87
15,100
13,102
20,28
21,19
14,102
8,31
17,78
19,35
7,16
9,49
10,63
16,96
18,51
22,6
23,6
6,12
26,2
25,2
4,1
29,1
27,1
5,2
28,1
24,1
12,99
9,56
7,12
14,104
15,115
13,115
19,42
16,92
10,83
18,45
17,61
8,36
11,82
20,17
22,8
23,6
21,9
6,7
5,2
24,2
25,4
4,2
26,1
17,78
13,107
11,74
14,108
15,99
12,89
16,89
25,1
9,45
10,69
20,37
6,5
21,19
18,56
5,2
19,49
8,36
7,15
23,8
22,9
27,1
26,1
28,1
24,1
4,1
14,97
18,43
5,5
15,98
12,106
11,89
17,72
10,69
16,84
21,22
13,110
22,8
9,66
19,33
20,26
8,36
24,6
7,15
6,7
23,5
3,1
4,2
12,94
17,73
13,112
18,49
22,8
19,56
15,113
14,119
9,41
8,26
10,69
16,77
25,3
24,7
20,35
11,76
6,6
21,13
5,2
7,14
23,4
4,2
3,1
21,22
17,71
13,101
8,33
15,105
14,119
16,77
19,40
6,9
10,65
7,18
11,88
23,6
12,104
20,28
9,56
18,44
22,9
3,1
24,1
26,1
5,1
25,1
17,75
11,95
23,8
13,113
18,59
9,42
15,100
14,107
16,83
19,41
12,108
7,18
10,55
8,28
20,21
5,6
22,7
26,2
6,11
21,13
25,2
24,4
29,1
4,1
12,103
17,70
14,105
16,71
10,81
8,33
18,51
7,29
13,116
20,17
19,30
11,87
9,59
15,88
5,12
23,6
6,12
21,14
22,13
4,1
27,1
24,1
16,84
12,99
15,88
4,5
10,62
11,91
18,56
14,110
22,8
17,67
9,44
8,28
23,8
19,45
6,8
13,121
21,18
26,2
20,34
24,3
7,13
29,1
25,1
5,3
30,1
16,99
18,58
20,32
14,83
12,92
10,61
15,106
13,129
9,46
7,15
17,74
21,14
11,88
8,26
19,35
25,3
23,13
6,8
22,11
5,3
24,3
26,1
15,108
13,102
14,114
21,12
11,88
12,103
10,68
20,22
16,90
9,41
19,42
22,10
18,51
5,6
17,79
8,26
7,21
6,7
23,5
25,2
24,2
4,1
8,34
19,28
10,92
13,108
18,43
22,8
14,119
16,81
15,88
12,116
17,63
9,53
26,2
23,3
21,12
11,98
7,14
24,3
20,12
6,12
25,2
5,6
4,1
27,1
28,1
16,67
18,57
11,103
12,111
10,66
14,112
9,48
22,12
17,83
13,90
15,100
7,16
8,29
23,5
19,37
20,29
25,4
6,9
21,15
24,3
26,1
4,1
28,1
5,1
14,103
11,72
16,93
12,105
19,47
20,28
15,117
7,14
18,66
10,66
13,109
9,48
8,29
17,50
4,2
5,4
24,3
21,14
25,4
6,8
22,11
23,4
2,1
27,1
26,1
19,34
18,49
9,49
12,107
11,84
21,21
10,65
16,106
6,11
17,63
15,89
13,109
8,32
27,1
14,113
24,4
22,8
7,19
23,6
20,23
26,1
5,3
4,1
25,2
11,84
15,106
7,16
12,106
14,98
23,8
10,71
8,28
17,84
20,20
5,5
16,98
9,41
18,43
19,44
24,6
13,100
6,9
22,13
4,2
21,13
25,4
27,1
